Options:
Model:                           Discrete: Independent
Tree File Name:                  /Users/sarthakshukla/Desktop/MorphTest/GallWasps_Morph.nex.run1.t
Data File Name:                  /Users/sarthakshukla/Desktop/MorphTest/gallwasps_charmatrix.txt
Log File Name:                   1000TreesDependentTest.log.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2033153405
Analsis Type:                    Maximum Likelihood
ML Attempt Per Tree:             10
ML Max Evaluations:              20000
ML Tolerance:                    0.000001
ML Algorithm:                    BOBYQA
Rate Range:                      0.000000 - 100.000000
Precision:                       64 bits
Cores:                           1
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Tree Information
     Trees:                      1001
     Taxa:                       41
     Sites:                      1
     States:                     4
Tree No	Lh	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
1	-35.893826	16.306918	14.114998	16.259462	32.025853	0.271643	0.327078	0.182063	0.219216	
2	-35.862035	8.035512	7.530032	9.504230	19.166315	0.106411	0.059897	0.533434	0.300258	
3	-35.579557	9.617386	8.668137	3.174317	5.736301	0.286379	0.056555	0.548705	0.108361	
4	-36.237190	4.915046	4.323064	49.533487	99.066953	0.307497	0.307497	0.192503	0.192503	
5	-36.409577	12.176710	10.597490	3.794436	7.711543	0.231298	0.270443	0.229692	0.268566	
6	-36.162310	6.478416	5.570968	2.860597	5.989372	0.214901	0.354895	0.162254	0.267951	
7	-36.483677	13.247158	11.552014	5.841700	11.616725	0.251752	0.247245	0.252764	0.248239	
8	-36.435711	99.995687	87.496243	5.480517	10.753566	0.252607	0.247393	0.252607	0.247393	
9	-36.319476	99.999842	87.499851	4.457182	8.784596	0.250608	0.249392	0.250608	0.249392	
10	-36.120299	99.999747	87.499845	3.519234	7.315451	0.249638	0.250362	0.249638	0.250362	
11	-36.304760	25.205655	22.058260	3.657568	7.688693	0.249430	0.250570	0.249430	0.250570	
12	-36.527308	100.000000	87.500096	50.000572	100.000000	0.250000	0.250000	0.250000	0.250000	
13	-36.527308	100.000000	87.500096	50.000572	100.000000	0.250000	0.250000	0.250000	0.250000	
14	-36.527313	100.000000	87.500105	50.000720	100.000000	0.250000	0.250000	0.250000	0.250000	
15	-36.527292	100.000000	87.499996	50.000147	100.000000	0.250000	0.250000	0.250000	0.250000	
16	-36.527289	99.999985	87.500001	50.000041	100.000000	0.250000	0.250000	0.250000	0.250000	
17	-36.527291	100.000000	87.500041	50.000102	100.000000	0.250000	0.250000	0.250000	0.250000	
18	-36.524206	100.000000	87.500020	15.092186	30.117414	0.250000	0.250000	0.250000	0.250000	
19	-36.465446	89.141011	77.998389	1.349691	4.929870	0.214701	0.285299	0.214701	0.285299	
20	-36.525570	35.688118	31.201719	27.523686	55.039256	0.250000	0.250000	0.250000	0.250000	
21	-36.453637	98.739351	86.396918	1.805326	5.485988	0.234154	0.265846	0.234154	0.265846	
22	-36.443291	98.994897	86.620551	3.872657	8.144890	0.249886	0.250114	0.249886	0.250114	
23	-36.449253	100.000000	87.500081	6.672211	13.057130	0.249891	0.250109	0.249891	0.250109	
24	-36.527372	100.000000	87.500633	50.002009	100.000000	0.250000	0.250000	0.250000	0.250000	
25	-36.517694	100.000000	87.500233	14.670154	29.220777	0.250000	0.250000	0.250000	0.250000	
26	-36.464926	100.000000	87.500061	1.190096	5.513253	0.169418	0.330582	0.169418	0.330582	
27	-36.049914	99.892173	87.405663	0.358562	4.900046	0.091351	0.408649	0.091351	0.408649	
28	-35.297243	99.876054	87.391642	0.157096	4.253834	0.057814	0.442186	0.057814	0.442186	
29	-35.940809	99.908031	87.419527	0.272525	3.960781	0.104868	0.395132	0.104868	0.395132	
30	-35.745593	99.918581	87.428764	0.607613	4.226708	0.178009	0.321991	0.178009	0.321991	
31	-35.941552	99.924890	87.434293	0.995996	5.043906	0.205715	0.294285	0.205715	0.294285	
32	-36.527302	100.000000	87.500055	50.000426	100.000000	0.250000	0.250000	0.250000	0.250000	
33	-36.527356	100.000000	87.500355	50.001732	100.000000	0.250000	0.250000	0.250000	0.250000	
34	-36.515502	100.000000	87.500023	9.421390	18.713694	0.250000	0.250000	0.250000	0.250000	
35	-36.437180	100.000000	87.500164	1.314937	5.402248	0.230854	0.269146	0.230854	0.269146	
36	-36.048272	20.692087	17.921933	1.648753	5.613971	0.201517	0.298483	0.201517	0.298483	
37	-36.527288	100.000000	87.500048	45.273512	90.546861	0.250000	0.250000	0.250000	0.250000	
38	-36.505088	100.000000	87.500134	6.387588	12.493716	0.250000	0.250000	0.250000	0.250000	
39	-36.526979	100.000000	87.500337	27.392897	54.765071	0.250000	0.250000	0.250000	0.250000	
40	-36.527324	100.000000	87.500200	50.001033	100.000000	0.250000	0.250000	0.250000	0.250000	
41	-36.527334	100.000000	87.500267	50.001244	100.000000	0.250000	0.250000	0.250000	0.250000	
42	-36.527292	100.000000	87.500025	50.000154	100.000000	0.250000	0.250000	0.250000	0.250000	
43	-36.527355	100.000000	87.500442	50.001807	100.000000	0.250000	0.250000	0.250000	0.250000	
44	-36.527937	100.000000	87.506499	50.011680	100.000000	0.250000	0.250000	0.250000	0.250000	
45	-36.527270	60.966645	53.345796	22.694055	45.388512	0.250000	0.250000	0.250000	0.250000	
46	-36.526810	100.000000	87.500004	19.249301	38.470585	0.250000	0.250000	0.250000	0.250000	
47	-36.526501	100.000000	87.500009	20.965755	41.906758	0.250000	0.250000	0.250000	0.250000	
48	-36.527288	99.566891	87.121029	50.000018	100.000000	0.250000	0.250000	0.250000	0.250000	
49	-36.526862	100.000000	87.500013	20.914677	41.816698	0.250000	0.250000	0.250000	0.250000	
50	-36.527240	100.000000	87.500000	27.611022	55.219404	0.250000	0.250000	0.250000	0.250000	
51	-36.526325	34.013094	29.784590	50.000349	100.000000	0.250000	0.250000	0.250000	0.250000	
52	-36.527287	91.278879	79.869017	50.000008	100.000000	0.250000	0.250000	0.250000	0.250000	
53	-36.527287	91.278879	79.869021	49.999984	99.999998	0.250000	0.250000	0.250000	0.250000	
54	-36.527291	100.000000	87.500030	50.000110	100.000000	0.250000	0.250000	0.250000	0.250000	
55	-36.527323	100.000000	87.500201	50.000942	100.000000	0.250000	0.250000	0.250000	0.250000	
56	-36.527306	100.000000	87.500093	50.000541	100.000000	0.250000	0.250000	0.250000	0.250000	
57	-36.527288	99.999940	87.499961	50.000026	100.000000	0.250000	0.250000	0.250000	0.250000	
58	-36.527288	99.999940	87.499948	50.000008	100.000000	0.250000	0.250000	0.250000	0.250000	
59	-36.527195	39.101445	34.217230	50.000035	100.000000	0.250000	0.250000	0.250000	0.250000	
60	-36.502523	16.862206	14.835428	50.000109	100.000000	0.250000	0.250000	0.250000	0.250000	
61	-36.527288	96.279656	84.244724	50.000015	100.000000	0.250000	0.250000	0.250000	0.250000	
62	-36.527288	100.000000	87.500002	50.000028	100.000000	0.250000	0.250000	0.250000	0.250000	
63	-36.527288	99.999979	87.500008	50.000010	100.000000	0.250000	0.250000	0.250000	0.250000	
64	-36.527162	32.874486	28.761441	24.603713	49.206096	0.250000	0.250000	0.250000	0.250000	
65	-36.525020	24.523461	21.474498	50.000019	100.000000	0.250000	0.250000	0.250000	0.250000	
66	-36.423812	94.399900	82.599879	1.539811	5.492954	0.220610	0.279390	0.220610	0.279390	
67	-36.527297	100.000000	87.500063	50.000310	100.000000	0.250000	0.250000	0.250000	0.250000	
68	-36.527296	100.000000	87.500010	50.000274	100.000000	0.250000	0.250000	0.250000	0.250000	
69	-36.527305	99.999998	87.500092	50.000507	100.000000	0.250000	0.250000	0.250000	0.250000	
70	-36.527325	100.000000	87.500203	50.000997	100.000000	0.250000	0.250000	0.250000	0.250000	
71	-36.527361	100.000000	87.500356	50.001825	100.000000	0.250000	0.250000	0.250000	0.250000	
72	-36.527300	100.000000	87.500065	50.000384	100.000000	0.250000	0.250000	0.250000	0.250000	
73	-36.527301	100.000000	87.500072	50.000375	100.000000	0.250000	0.250000	0.250000	0.250000	
74	-36.527297	100.000000	87.500050	50.000304	100.000000	0.250000	0.250000	0.250000	0.250000	
75	-36.527309	100.000000	87.500098	50.000617	100.000000	0.250000	0.250000	0.250000	0.250000	
76	-36.527301	100.000000	87.500054	50.000419	100.000000	0.250000	0.250000	0.250000	0.250000	
77	-36.525960	42.847147	37.419218	50.003547	100.000000	0.250000	0.250000	0.250000	0.250000	
78	-36.527471	100.000000	87.501128	50.003993	100.000000	0.250000	0.250000	0.250000	0.250000	
79	-36.527456	100.000000	87.501010	50.003723	100.000000	0.250000	0.250000	0.250000	0.250000	
80	-36.527292	100.000000	87.500000	50.000158	100.000000	0.250000	0.250000	0.250000	0.250000	
81	-36.527491	100.000000	87.501198	50.004582	100.000000	0.250000	0.250000	0.250000	0.250000	
82	-36.527330	100.000000	87.500191	50.001198	100.000000	0.250000	0.250000	0.250000	0.250000	
83	-36.527302	100.000000	87.500067	50.000406	100.000000	0.250000	0.250000	0.250000	0.250000	
84	-36.527298	100.000000	87.500044	50.000310	100.000000	0.250000	0.250000	0.250000	0.250000	
85	-36.527288	100.000000	87.500019	50.000027	100.000000	0.250000	0.250000	0.250000	0.250000	
86	-36.527311	100.000000	87.500098	50.000675	100.000000	0.250000	0.250000	0.250000	0.250000	
87	-36.527302	100.000000	87.500057	50.000455	100.000000	0.250000	0.250000	0.250000	0.250000	
88	-36.527291	100.000000	87.500028	50.000106	100.000000	0.250000	0.250000	0.250000	0.250000	
89	-36.527332	100.000000	87.500220	50.001157	100.000000	0.250000	0.250000	0.250000	0.250000	
90	-36.470422	22.878423	19.689622	22.018437	43.896268	0.250000	0.250000	0.250000	0.250000	
91	-36.517720	21.960747	19.155538	28.043298	56.083505	0.250000	0.250000	0.250000	0.250000	
92	-36.526292	36.264996	31.710585	50.000048	100.000000	0.250000	0.250000	0.250000	0.250000	
93	-36.518372	21.092336	18.397692	27.049531	54.096473	0.250000	0.250000	0.250000	0.250000	
94	-36.527127	41.304137	36.137009	26.866169	53.728352	0.250000	0.250000	0.250000	0.250000	
95	-36.521846	25.162732	21.963059	23.510612	47.010310	0.250000	0.250000	0.250000	0.250000	
96	-36.527291	99.999999	87.500007	50.000134	100.000000	0.250000	0.250000	0.250000	0.250000	
97	-36.495628	15.722029	13.671774	15.802992	31.571445	0.250000	0.250000	0.250000	0.250000	
98	-36.527288	99.999953	87.499953	49.999999	100.000000	0.250000	0.250000	0.250000	0.250000	
99	-36.527288	99.999953	87.499953	49.999999	100.000000	0.250000	0.250000	0.250000	0.250000	
100	-36.479580	17.556546	15.210024	18.401821	36.752404	0.250000	0.250000	0.250000	0.250000	
101	-36.527336	100.000000	87.500243	50.001284	100.000000	0.250000	0.250000	0.250000	0.250000	
102	-36.527290	100.000000	87.500007	50.000092	100.000000	0.250000	0.250000	0.250000	0.250000	
103	-36.523081	28.482920	24.887780	32.722030	65.441907	0.250000	0.250000	0.250000	0.250000	
104	-36.527592	100.000000	87.501948	50.006169	100.000000	0.250000	0.250000	0.250000	0.250000	
105	-36.527257	40.249216	35.211349	50.000048	100.000000	0.250000	0.250000	0.250000	0.250000	
106	-36.527288	99.725892	87.260160	50.000028	100.000000	0.250000	0.250000	0.250000	0.250000	
107	-36.515403	27.056883	23.764848	50.001486	100.000000	0.250000	0.250000	0.250000	0.250000	
108	-36.527270	44.506589	38.941799	50.000005	100.000000	0.250000	0.250000	0.250000	0.250000	
109	-36.523079	31.728334	27.809275	50.000907	100.000000	0.250000	0.250000	0.250000	0.250000	
110	-36.509617	23.562246	20.730396	50.001412	100.000000	0.250000	0.250000	0.250000	0.250000	
111	-36.526312	39.084334	34.222070	50.001040	100.000000	0.250000	0.250000	0.250000	0.250000	
112	-36.521494	27.973054	24.538465	50.000711	100.000000	0.250000	0.250000	0.250000	0.250000	
113	-36.519617	26.169414	22.965622	50.000526	100.000000	0.250000	0.250000	0.250000	0.250000	
114	-36.527291	100.000000	87.500033	50.000129	100.000000	0.250000	0.250000	0.250000	0.250000	
115	-36.527298	100.000000	87.500071	50.000317	100.000000	0.250000	0.250000	0.250000	0.250000	
116	-36.527289	99.999994	87.500001	50.000068	100.000000	0.250000	0.250000	0.250000	0.250000	
117	-36.527626	100.000000	87.502171	50.006740	100.000000	0.250000	0.250000	0.250000	0.250000	
118	-36.527297	100.000000	87.500031	50.000296	100.000000	0.250000	0.250000	0.250000	0.250000	
119	-36.527292	100.000000	87.500011	50.000147	100.000000	0.250000	0.250000	0.250000	0.250000	
120	-36.527288	99.999962	87.499968	50.000001	99.999975	0.250000	0.250000	0.250000	0.250000	
121	-36.527288	99.999710	87.499745	50.000004	100.000000	0.250000	0.250000	0.250000	0.250000	
122	-36.527316	100.000000	87.500129	50.000774	100.000000	0.250000	0.250000	0.250000	0.250000	
123	-36.527297	100.000000	87.500024	50.000293	100.000000	0.250000	0.250000	0.250000	0.250000	
124	-36.526595	100.000000	87.500006	18.383716	36.748574	0.250000	0.250000	0.250000	0.250000	
125	-36.527289	100.000000	87.500002	50.000063	100.000000	0.250000	0.250000	0.250000	0.250000	
126	-36.527313	100.000000	87.500128	50.000720	100.000000	0.250000	0.250000	0.250000	0.250000	
127	-36.459422	14.778166	12.884778	19.896161	39.749926	0.250002	0.250002	0.249998	0.249998	
